rounds,NDCG5,NDCG10,NDCG20,HR5,HR10,HR20
1,15.19,16.45,19.28,17.51,21.55,33.0
2,15.51,17.47,20.22,19.53,25.59,36.36
3,15.28,17.7,20.47,20.2,27.61,38.72
4,17.33,19.01,21.18,23.57,28.96,37.71
5,10.98,14.52,18.51,15.15,26.26,42.09
6,11.7,15.12,20.62,15.82,26.6,48.48
7,13.51,17.18,20.48,17.51,28.96,42.09
8,11.05,14.51,18.23,16.84,27.61,42.42
9,14.54,17.1,20.67,20.88,28.96,43.1
10,12.62,15.39,19.03,17.51,26.26,40.74
11,12.98,16.27,19.59,18.52,28.96,42.09
12,10.01,14.83,18.26,14.14,29.63,43.1
13,12.78,16.62,21.15,19.87,31.99,49.83
14,12.33,16.57,21.76,17.51,30.64,51.18
15,12.27,17.96,23.19,18.18,35.69,56.23
16,14.16,18.72,23.56,21.89,36.03,54.88
17,15.42,19.45,23.62,24.24,36.7,53.2
18,14.77,19.99,23.88,22.56,39.06,54.55
19,16.77,21.11,26.02,24.92,38.38,57.58
20,16.96,21.65,25.91,24.58,39.06,55.89
21,18.79,23.11,27.31,27.61,41.41,58.25
22,20.37,23.51,27.77,28.96,38.72,55.56
23,18.49,22.2,25.81,26.94,38.72,53.2
24,19.05,24.56,28.55,24.92,41.75,57.58
25,20.74,25.28,28.62,28.96,43.1,56.57
26,19.0,24.12,28.35,25.93,41.75,58.92
27,20.55,24.59,28.07,28.62,41.08,54.88
28,19.2,23.8,27.59,26.94,40.74,55.89
29,19.49,23.64,27.46,27.95,40.74,55.89
30,19.91,24.28,27.95,29.29,42.76,57.58
31,20.48,24.39,28.92,30.3,42.42,60.61
32,20.25,24.28,28.36,29.63,42.09,58.25
33,20.44,24.74,29.33,29.29,42.42,60.61
34,21.84,26.11,30.1,30.98,44.11,59.93
35,19.46,25.11,28.95,28.28,45.79,60.94
36,19.9,24.72,29.16,28.62,43.43,60.94
37,19.16,24.12,28.33,28.62,43.77,60.61
38,19.25,23.99,28.22,27.61,42.42,58.92
39,18.44,24.21,28.01,27.61,45.45,60.61
40,20.28,24.14,29.02,29.63,41.75,60.94
41,20.82,24.25,28.56,31.31,42.09,59.26
42,20.23,24.24,28.69,30.3,42.76,60.27
43,21.1,23.99,28.97,31.65,40.4,60.27
44,21.65,25.06,29.07,33.67,44.44,60.27
45,21.72,25.59,29.55,32.32,44.44,59.93
46,22.14,25.67,29.42,32.66,43.77,58.59
47,20.93,25.57,28.85,30.98,45.45,58.59
48,21.03,25.47,28.79,31.65,45.45,58.59
49,22.8,26.46,30.01,33.0,44.44,58.59
50,21.47,25.25,28.81,32.66,44.44,58.59
51,23.43,26.95,30.29,34.34,45.45,58.59
52,23.27,26.94,30.56,34.01,45.45,59.93
53,22.39,26.26,29.82,33.33,45.45,59.6
54,21.41,25.87,28.98,31.65,45.45,57.91
55,21.49,26.29,29.24,31.65,46.46,58.25
56,22.93,26.52,30.06,34.01,44.78,58.92
57,22.89,26.57,29.93,33.33,44.44,57.91
58,22.86,26.72,30.02,34.68,46.46,59.6
59,23.17,26.25,29.89,36.03,45.45,59.93
60,22.89,27.71,30.31,33.0,47.81,58.25
61,21.74,26.76,29.98,30.98,46.13,58.92
62,22.73,26.83,29.12,33.67,46.46,55.56
63,22.59,27.11,29.9,33.33,47.14,58.25
64,23.66,27.68,31.08,33.0,45.12,58.59
65,23.73,27.77,30.73,34.68,47.14,58.92
66,22.92,26.5,29.7,34.01,45.12,57.91
67,24.37,27.76,31.52,33.67,44.11,59.26
68,24.8,28.31,31.04,35.35,46.46,57.24
69,26.15,28.95,31.93,36.03,44.78,56.57
70,25.37,28.57,31.91,34.68,44.44,57.58
71,25.08,28.19,31.5,34.68,44.44,57.58
72,24.5,28.31,31.37,34.68,46.46,58.59
73,25.8,29.05,31.89,36.03,46.13,57.24
74,25.81,29.4,32.16,36.7,47.81,58.92
75,26.34,29.18,32.22,36.03,44.78,56.9
76,26.49,30.48,33.22,36.36,48.82,59.6
77,25.05,28.7,31.47,35.35,46.8,57.91
78,25.67,29.01,32.18,35.35,45.79,58.25
79,26.89,29.94,32.83,37.04,46.46,57.91
80,27.02,30.25,32.94,37.37,47.81,58.59
81,26.11,29.56,32.21,36.36,47.14,57.24
82,25.55,29.12,32.32,35.02,46.13,58.59
83,26.15,29.52,32.56,36.03,46.46,58.25
84,25.79,29.21,32.61,34.68,45.45,58.92
85,26.16,29.63,33.12,35.69,46.46,60.61
86,26.84,30.12,33.54,36.36,46.46,59.93
87,26.29,28.55,32.4,35.69,42.42,57.58
88,27.96,30.44,33.61,38.05,45.79,58.25
89,27.46,30.46,33.57,36.7,46.13,58.25
90,26.75,29.59,32.65,36.7,45.45,57.58
91,26.56,29.95,32.6,36.7,47.47,57.91
92,27.97,30.88,33.16,39.73,48.82,57.91
93,28.24,31.21,33.91,37.71,47.14,57.91
94,27.26,30.06,33.31,36.03,44.78,57.58
95,27.46,30.31,33.17,37.04,46.13,57.58
96,27.91,30.89,34.16,36.36,45.79,58.59
97,26.98,29.24,32.82,37.04,44.11,58.25
98,27.98,30.51,33.7,37.71,45.79,58.25
99,26.68,29.31,32.39,36.7,44.78,56.9
100,28.35,31.63,34.11,38.05,48.15,57.91
